Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/15/2022,08:45:00 am,0,0.531,15.40
6/15/2022,09:00:00 am,0,0.531,15.00
6/15/2022,09:15:00 am,0,0.531,15.00
6/15/2022,09:30:00 am,0,0.529,14.90
6/15/2022,09:45:00 am,0,0.530,14.90
6/15/2022,10:00:00 am,0,0.528,14.90
6/15/2022,10:15:00 am,0,0.528,14.90
6/15/2022,10:30:00 am,0,0.527,14.90
6/15/2022,10:45:00 am,0,0.525,14.80
6/15/2022,11:00:00 am,0,0.526,14.80
6/15/2022,11:15:00 am,0,0.526,14.80
6/15/2022,11:30:00 am,0,0.527,14.80
6/15/2022,11:45:00 am,0,0.526,14.80
6/15/2022,12:00:00 pm,0,0.524,14.80
6/15/2022,12:15:00 pm,0,0.525,14.80
6/15/2022,12:30:00 pm,0,0.525,14.80
6/15/2022,12:45:00 pm,0,0.526,14.80
6/15/2022,01:00:00 pm,0,0.525,14.80
6/15/2022,01:15:00 pm,0,0.524,14.80
6/15/2022,01:30:00 pm,0,0.526,14.80
6/15/2022,01:45:00 pm,0,0.525,14.80
6/15/2022,02:00:00 pm,0,0.524,14.80
6/15/2022,02:15:00 pm,0,0.527,14.80
6/15/2022,02:30:00 pm,0,0.523,14.80
6/15/2022,02:45:00 pm,0,0.524,14.80
6/15/2022,03:00:00 pm,0,0.523,14.80
6/15/2022,03:15:00 pm,0,0.523,14.80
6/15/2022,03:30:00 pm,0,0.525,14.80
6/15/2022,03:45:00 pm,0,0.524,14.80
6/15/2022,04:00:00 pm,0,0.523,14.80
