Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/20/2022,10:45:00 am,0,1014.6,21.30
9/20/2022,11:00:00 am,0,1014.6,21.20
9/20/2022,11:15:00 am,0,1014.6,21.20
9/20/2022,11:30:00 am,0,1014.0,21.20
9/20/2022,11:45:00 am,0,1014.0,21.30
9/20/2022,12:00:00 pm,0,1013.7,21.30
9/20/2022,12:15:00 pm,0,1013.7,21.40
9/20/2022,12:30:00 pm,0,1013.7,21.50
9/20/2022,12:45:00 pm,0,1013.4,21.60
9/20/2022,01:00:00 pm,0,1013.4,21.70
9/20/2022,01:15:00 pm,0,1013.1,21.80
9/20/2022,01:30:00 pm,0,1013.1,21.90
9/20/2022,01:45:00 pm,0,1012.8,22.00
9/20/2022,02:00:00 pm,0,1012.5,22.10
9/20/2022,02:15:00 pm,0,1012.5,22.20
9/20/2022,02:30:00 pm,0,1012.2,22.40
9/20/2022,02:45:00 pm,0,1012.2,22.50
9/20/2022,03:00:00 pm,0,1011.9,22.60
9/20/2022,03:15:00 pm,0,1011.9,22.70
9/20/2022,03:30:00 pm,0,1011.6,22.80
9/20/2022,03:45:00 pm,0,1011.6,22.90
9/20/2022,04:00:00 pm,0,1011.6,23.00
9/20/2022,04:15:00 pm,0,1011.6,23.00
9/20/2022,04:30:00 pm,0,1011.3,23.00
9/20/2022,04:45:00 pm,0,1011.3,23.00
9/20/2022,05:00:00 pm,0,1011.0,23.10
9/20/2022,05:15:00 pm,0,1011.0,23.10
9/20/2022,05:30:00 pm,0,1011.0,23.10
9/20/2022,05:45:00 pm,0,1011.3,23.20
9/20/2022,06:00:00 pm,0,1011.3,23.20
9/20/2022,06:15:00 pm,0,1011.0,23.20
9/20/2022,06:30:00 pm,0,1011.3,23.30
9/20/2022,06:45:00 pm,0,1011.3,23.30
9/20/2022,07:00:00 pm,0,1011.6,23.30
9/20/2022,07:15:00 pm,0,1011.6,23.40
9/20/2022,07:30:00 pm,0,1011.6,23.40
9/20/2022,07:45:00 pm,0,1011.6,23.40
9/20/2022,08:00:00 pm,0,1011.6,23.40
9/20/2022,08:15:00 pm,0,1011.6,23.40
9/20/2022,08:30:00 pm,0,1011.3,23.40
9/20/2022,08:45:00 pm,0,1011.3,23.40
9/20/2022,09:00:00 pm,0,1011.3,23.30
9/20/2022,09:15:00 pm,0,1011.3,23.30
9/20/2022,09:30:00 pm,0,1011.0,23.20
9/20/2022,09:45:00 pm,0,1010.7,23.20
9/20/2022,10:00:00 pm,0,1010.7,23.20
9/20/2022,10:15:00 pm,0,1010.4,23.10
9/20/2022,10:30:00 pm,0,1010.4,23.10
9/20/2022,10:45:00 pm,0,1010.4,23.10
9/20/2022,11:00:00 pm,0,1010.1,23.00
9/20/2022,11:15:00 pm,0,1010.1,23.00
9/20/2022,11:30:00 pm,0,1010.1,23.00
9/20/2022,11:45:00 pm,0,1010.1,23.00
9/21/2022,12:00:00 am,0,1010.1,22.90
9/21/2022,12:15:00 am,0,1010.1,22.90
9/21/2022,12:30:00 am,0,1010.1,22.80
9/21/2022,12:45:00 am,0,1010.1,22.80
9/21/2022,01:00:00 am,0,1010.1,22.70
9/21/2022,01:15:00 am,0,1010.1,22.70
9/21/2022,01:30:00 am,0,1010.1,22.70
9/21/2022,01:45:00 am,0,1009.8,22.60
9/21/2022,02:00:00 am,0,1009.8,22.60
9/21/2022,02:15:00 am,0,1009.8,22.60
9/21/2022,02:30:00 am,0,1009.5,22.50
9/21/2022,02:45:00 am,0,1009.5,22.50
9/21/2022,03:00:00 am,0,1009.5,22.50
9/21/2022,03:15:00 am,0,1009.5,22.50
9/21/2022,03:30:00 am,0,1009.5,22.40
