Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/15/2022,08:45:00 am,0,64.5,16.80
6/15/2022,09:00:00 am,0,64.6,16.70
6/15/2022,09:15:00 am,0,64.5,16.70
6/15/2022,09:30:00 am,0,64.6,16.70
6/15/2022,09:45:00 am,0,64.4,16.70
6/15/2022,10:00:00 am,0,64.6,16.70
6/15/2022,10:15:00 am,0,64.2,16.70
6/15/2022,10:30:00 am,0,64.4,16.70
6/15/2022,10:45:00 am,0,64.2,16.70
6/15/2022,11:00:00 am,0,64.3,16.70
6/15/2022,11:15:00 am,0,64.3,16.70
6/15/2022,11:30:00 am,0,64.1,16.70
6/15/2022,11:45:00 am,0,64.0,16.70
6/15/2022,12:00:00 pm,0,64.1,16.70
6/15/2022,12:15:00 pm,0,64.2,16.70
6/15/2022,12:30:00 pm,0,64.2,16.70
6/15/2022,12:45:00 pm,0,64.3,16.70
6/15/2022,01:00:00 pm,0,64.2,16.70
6/15/2022,01:15:00 pm,0,64.1,16.70
6/15/2022,01:30:00 pm,0,64.0,16.70
6/15/2022,01:45:00 pm,0,64.2,16.70
6/15/2022,02:00:00 pm,0,64.1,16.70
6/15/2022,02:15:00 pm,0,64.1,16.70
6/15/2022,02:30:00 pm,0,64.3,16.80
6/15/2022,02:45:00 pm,0,64.1,16.80
6/15/2022,03:00:00 pm,0,64.3,16.80
6/15/2022,03:15:00 pm,0,64.0,16.80
6/15/2022,03:30:00 pm,0,64.2,16.80
6/15/2022,03:45:00 pm,0,64.1,16.80
6/15/2022,04:00:00 pm,0,64.3,16.80
