Serial_number:
2036213
Project ID:
ACRE Wetland
Location:
Inlet A
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/16/2024,06:15:00 pm,0,10.062,12.60
4/16/2024,06:30:00 pm,0,10.047,11.20
4/16/2024,06:45:00 pm,0,10.035,10.70
4/16/2024,07:00:00 pm,0,10.038,10.50
4/16/2024,07:15:00 pm,0,10.026,10.30
4/16/2024,07:30:00 pm,0,10.020,10.30
4/16/2024,07:45:00 pm,0,10.017,10.30
4/16/2024,08:00:00 pm,0,10.026,10.30
4/16/2024,08:15:00 pm,0,10.035,10.30
4/16/2024,08:30:00 pm,0,10.035,10.30
4/16/2024,08:45:00 pm,0,10.038,10.30
4/16/2024,09:00:00 pm,0,10.041,10.30
4/16/2024,09:15:00 pm,0,10.047,10.30
4/16/2024,09:30:00 pm,0,10.044,10.30
4/16/2024,09:45:00 pm,0,10.044,10.30
4/16/2024,10:00:00 pm,0,10.050,10.30
4/16/2024,10:15:00 pm,0,10.047,10.30
4/16/2024,10:30:00 pm,0,10.041,10.30
4/16/2024,10:45:00 pm,0,10.044,10.30
4/16/2024,11:00:00 pm,0,10.044,10.30
4/16/2024,11:15:00 pm,0,10.047,10.30
4/16/2024,11:30:00 pm,0,10.044,10.30
4/16/2024,11:45:00 pm,0,10.047,10.30
4/17/2024,12:00:00 am,0,10.044,10.30
4/17/2024,12:15:00 am,0,10.041,10.30
4/17/2024,12:30:00 am,0,10.038,10.30
4/17/2024,12:45:00 am,0,10.035,10.30
4/17/2024,01:00:00 am,0,10.032,10.30
4/17/2024,01:15:00 am,0,10.032,10.30
4/17/2024,01:30:00 am,0,10.029,10.30
4/17/2024,01:45:00 am,0,10.029,10.30
4/17/2024,02:00:00 am,0,10.029,10.30
4/17/2024,02:15:00 am,0,10.029,10.30
4/17/2024,02:30:00 am,0,10.026,10.30
4/17/2024,02:45:00 am,0,10.026,10.30
4/17/2024,03:00:00 am,0,10.026,10.30
4/17/2024,03:15:00 am,0,10.026,10.30
4/17/2024,03:30:00 am,0,10.026,10.30
4/17/2024,03:45:00 am,0,10.023,10.30
4/17/2024,04:00:00 am,0,10.023,10.30
4/17/2024,04:15:00 am,0,10.023,10.30
4/17/2024,04:30:00 am,0,10.020,10.30
4/17/2024,04:45:00 am,0,10.020,10.30
4/17/2024,05:00:00 am,0,10.020,10.30
4/17/2024,05:15:00 am,0,10.020,10.30
4/17/2024,05:30:00 am,0,10.020,10.30
4/17/2024,05:45:00 am,0,10.020,10.40
4/17/2024,06:00:00 am,0,10.020,10.40
4/17/2024,06:15:00 am,0,10.017,10.40
4/17/2024,06:30:00 am,0,10.017,10.40
4/17/2024,06:45:00 am,0,10.017,10.40
4/17/2024,07:00:00 am,0,10.017,10.40
4/17/2024,07:15:00 am,0,10.014,10.40
4/17/2024,07:30:00 am,0,10.014,10.40
4/17/2024,07:45:00 am,0,10.011,10.40
4/17/2024,08:00:00 am,0,10.008,10.40
4/17/2024,08:15:00 am,0,10.008,10.40
4/17/2024,08:30:00 am,0,10.008,10.40
4/17/2024,08:45:00 am,0,10.005,10.40
4/17/2024,09:00:00 am,0,10.002,10.40
4/17/2024,09:15:00 am,0,9.999,10.40
4/17/2024,09:30:00 am,0,9.999,10.40
4/17/2024,09:45:00 am,0,9.996,10.40
4/17/2024,10:00:00 am,0,9.999,10.40
4/17/2024,10:15:00 am,0,10.005,10.40
4/17/2024,10:30:00 am,0,10.005,10.40
4/17/2024,10:45:00 am,0,10.005,10.40
4/17/2024,11:00:00 am,0,10.008,10.40
4/17/2024,11:15:00 am,0,10.011,10.40
