Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/7/2023,12:15:00 pm,0,2.7,7.60
12/7/2023,12:30:00 pm,0,2.4,6.70
12/7/2023,12:45:00 pm,0,2.3,6.40
12/7/2023,01:00:00 pm,0,2.5,6.30
12/7/2023,01:15:00 pm,0,2.1,6.20
12/7/2023,01:30:00 pm,0,1.8,6.20
12/7/2023,01:45:00 pm,0,1.4,6.20
12/7/2023,02:00:00 pm,0,1.5,6.30
12/7/2023,02:15:00 pm,0,1.3,6.30
12/7/2023,02:30:00 pm,0,1.2,6.30
12/7/2023,02:45:00 pm,0,1.4,6.40
12/7/2023,03:00:00 pm,0,1.3,6.40
12/7/2023,03:15:00 pm,0,1.1,6.40
12/7/2023,03:30:00 pm,0,1.1,6.40
12/7/2023,03:45:00 pm,0,1.0,6.50
12/7/2023,04:00:00 pm,0,1.4,6.50
12/7/2023,04:15:00 pm,0,1.3,6.50
12/7/2023,04:30:00 pm,0,1.3,6.60
12/7/2023,04:45:00 pm,0,1.1,6.60
12/7/2023,05:00:00 pm,0,1.4,6.60
12/7/2023,05:15:00 pm,0,1.4,6.60
12/7/2023,05:30:00 pm,0,1.5,6.70
12/7/2023,05:45:00 pm,0,1.6,6.70
12/7/2023,06:00:00 pm,0,1.9,6.70
12/7/2023,06:15:00 pm,0,1.9,6.70
12/7/2023,06:30:00 pm,0,2.3,6.70
12/7/2023,06:45:00 pm,0,1.8,6.70
12/7/2023,07:00:00 pm,0,2.3,6.80
12/7/2023,07:15:00 pm,0,2.1,6.80
12/7/2023,07:30:00 pm,0,2.3,6.80
12/7/2023,07:45:00 pm,0,2.0,6.80
12/7/2023,08:00:00 pm,0,2.4,6.80
12/7/2023,08:15:00 pm,0,2.2,6.80
12/7/2023,08:30:00 pm,0,2.3,6.80
12/7/2023,08:45:00 pm,0,2.1,6.80
12/7/2023,09:00:00 pm,0,2.2,6.80
12/7/2023,09:15:00 pm,0,2.1,6.80
12/7/2023,09:30:00 pm,0,2.2,6.80
12/7/2023,09:45:00 pm,0,2.1,6.80
12/7/2023,10:00:00 pm,0,2.1,6.80
12/7/2023,10:15:00 pm,0,2.1,6.80
12/7/2023,10:30:00 pm,0,1.9,6.80
12/7/2023,10:45:00 pm,0,2.1,6.80
12/7/2023,11:00:00 pm,0,2.0,6.80
12/7/2023,11:15:00 pm,0,2.0,6.80
12/7/2023,11:30:00 pm,0,1.9,6.80
12/7/2023,11:45:00 pm,0,2.0,6.80
12/8/2023,12:00:00 am,0,1.6,6.80
12/8/2023,12:15:00 am,0,1.7,6.80
12/8/2023,12:30:00 am,0,1.8,6.80
12/8/2023,12:45:00 am,0,1.8,6.80
12/8/2023,01:00:00 am,0,1.3,6.70
12/8/2023,01:15:00 am,0,1.3,6.70
12/8/2023,01:30:00 am,0,1.2,6.80
12/8/2023,01:45:00 am,0,0.7,6.70
12/8/2023,02:00:00 am,0,0.8,6.70
12/8/2023,02:15:00 am,0,0.9,6.70
12/8/2023,02:30:00 am,0,1.1,6.70
12/8/2023,02:45:00 am,0,0.8,6.70
12/8/2023,03:00:00 am,0,0.8,6.70
12/8/2023,03:15:00 am,0,0.7,6.70
12/8/2023,03:30:00 am,0,0.9,6.70
12/8/2023,03:45:00 am,0,0.7,6.70
12/8/2023,04:00:00 am,0,0.4,6.70
12/8/2023,04:15:00 am,0,0.3,6.70
12/8/2023,04:30:00 am,0,0.5,6.70
12/8/2023,04:45:00 am,0,0.3,6.70
12/8/2023,05:00:00 am,0,0.1,6.70
12/8/2023,05:15:00 am,0,0.2,6.70
12/8/2023,05:30:00 am,0,0.6,6.70
12/8/2023,05:45:00 am,0,0.6,6.60
12/8/2023,06:00:00 am,0,0.2,6.60
12/8/2023,06:15:00 am,0,0.2,6.60
12/8/2023,06:30:00 am,0,0.5,6.70
12/8/2023,06:45:00 am,0,0.3,6.70
12/8/2023,07:00:00 am,0,0.1,6.70
12/8/2023,07:15:00 am,0,0.4,6.70
12/8/2023,07:30:00 am,0,0.2,6.70
12/8/2023,07:45:00 am,0,-0.1,6.70
12/8/2023,08:00:00 am,0,0.1,6.70
12/8/2023,08:15:00 am,0,-0.0,6.70
12/8/2023,08:30:00 am,0,-0.3,6.70
12/8/2023,08:45:00 am,0,-0.3,6.70
12/8/2023,09:00:00 am,0,-0.3,6.70
12/8/2023,09:15:00 am,0,-0.4,6.70
12/8/2023,09:30:00 am,0,-0.3,6.80
12/8/2023,09:45:00 am,0,-0.3,6.80
12/8/2023,10:00:00 am,0,0.1,6.80
12/8/2023,10:15:00 am,0,0.0,6.80
12/8/2023,10:30:00 am,0,0.0,6.80
12/8/2023,10:45:00 am,0,-0.1,6.80
12/8/2023,11:00:00 am,0,-0.1,6.90
12/8/2023,11:15:00 am,0,-0.1,6.90
12/8/2023,11:30:00 am,0,-0.1,6.90
12/8/2023,11:45:00 am,0,-0.3,6.90
12/8/2023,12:00:00 pm,0,-0.1,7.00
12/8/2023,12:15:00 pm,0,-0.1,7.00
12/8/2023,12:30:00 pm,0,-0.1,7.00
12/8/2023,12:45:00 pm,0,-0.3,7.00
12/8/2023,01:00:00 pm,0,-0.2,7.10
12/8/2023,01:15:00 pm,0,-0.2,7.10
12/8/2023,01:30:00 pm,0,0.0,7.20
12/8/2023,01:45:00 pm,0,-0.1,7.20
12/8/2023,02:00:00 pm,0,-0.1,7.20
12/8/2023,02:15:00 pm,0,-0.1,7.30
12/8/2023,02:30:00 pm,0,-0.2,7.30
12/8/2023,02:45:00 pm,0,-0.1,7.30
12/8/2023,03:00:00 pm,0,-0.2,7.40
12/8/2023,03:15:00 pm,0,-0.2,7.40
12/8/2023,03:30:00 pm,0,0.1,7.50
12/8/2023,03:45:00 pm,0,0.1,7.50
12/8/2023,04:00:00 pm,0,0.1,7.50
12/8/2023,04:15:00 pm,0,0.1,7.60
12/8/2023,04:30:00 pm,0,0.1,7.60
12/8/2023,04:45:00 pm,0,0.1,7.60
12/8/2023,05:00:00 pm,0,0.2,7.70
12/8/2023,05:15:00 pm,0,0.3,7.70
12/8/2023,05:30:00 pm,0,0.3,7.70
12/8/2023,05:45:00 pm,0,0.3,7.70
12/8/2023,06:00:00 pm,0,0.2,7.80
12/8/2023,06:15:00 pm,0,0.2,7.80
12/8/2023,06:30:00 pm,0,0.2,7.80
12/8/2023,06:45:00 pm,0,0.2,7.80
12/8/2023,07:00:00 pm,0,0.3,7.80
12/8/2023,07:15:00 pm,0,0.3,7.90
12/8/2023,07:30:00 pm,0,0.3,7.90
12/8/2023,07:45:00 pm,0,0.2,7.90
12/8/2023,08:00:00 pm,0,0.1,7.90
12/8/2023,08:15:00 pm,0,0.1,7.90
12/8/2023,08:30:00 pm,0,0.1,7.90
12/8/2023,08:45:00 pm,0,0.2,8.00
12/8/2023,09:00:00 pm,0,0.3,8.00
12/8/2023,09:15:00 pm,0,0.3,8.00
12/8/2023,09:30:00 pm,0,0.0,8.00
12/8/2023,09:45:00 pm,0,0.0,8.00
12/8/2023,10:00:00 pm,0,0.0,8.00
12/8/2023,10:15:00 pm,0,0.1,8.00
12/8/2023,10:30:00 pm,0,0.1,8.10
12/8/2023,10:45:00 pm,0,0.3,8.10
12/8/2023,11:00:00 pm,0,0.2,8.10
12/8/2023,11:15:00 pm,0,0.1,8.10
12/8/2023,11:30:00 pm,0,0.1,8.10
12/8/2023,11:45:00 pm,0,-0.1,8.10
12/9/2023,12:00:00 am,0,0.1,8.10
12/9/2023,12:15:00 am,0,0.1,8.20
12/9/2023,12:30:00 am,0,0.1,8.20
12/9/2023,12:45:00 am,0,0.1,8.20
12/9/2023,01:00:00 am,0,0.0,8.20
12/9/2023,01:15:00 am,0,0.3,8.20
12/9/2023,01:30:00 am,0,0.3,8.20
12/9/2023,01:45:00 am,0,0.4,8.20
12/9/2023,02:00:00 am,0,0.2,8.20
12/9/2023,02:15:00 am,0,0.6,8.30
12/9/2023,02:30:00 am,0,0.4,8.30
12/9/2023,02:45:00 am,0,0.3,8.30
12/9/2023,03:00:00 am,0,0.3,8.30
12/9/2023,03:15:00 am,0,0.1,8.30
12/9/2023,03:30:00 am,0,-0.0,8.30
12/9/2023,03:45:00 am,0,0.3,8.30
12/9/2023,04:00:00 am,0,-0.0,8.30
12/9/2023,04:15:00 am,0,0.3,8.40
12/9/2023,04:30:00 am,0,0.1,8.40
12/9/2023,04:45:00 am,0,-0.0,8.40
12/9/2023,05:00:00 am,0,0.1,8.40
12/9/2023,05:15:00 am,0,0.0,8.40
12/9/2023,05:30:00 am,0,0.1,8.40
12/9/2023,05:45:00 am,0,0.0,8.40
12/9/2023,06:00:00 am,0,0.2,8.50
12/9/2023,06:15:00 am,0,0.3,8.50
12/9/2023,06:30:00 am,0,0.1,8.50
12/9/2023,06:45:00 am,0,0.2,8.50
12/9/2023,07:00:00 am,0,0.2,8.50
12/9/2023,07:15:00 am,0,-0.2,8.50
12/9/2023,07:30:00 am,0,-0.0,8.60
12/9/2023,07:45:00 am,0,-0.0,8.60
12/9/2023,08:00:00 am,0,-0.1,8.60
12/9/2023,08:15:00 am,0,0.1,8.60
12/9/2023,08:30:00 am,0,-0.1,8.60
12/9/2023,08:45:00 am,0,-0.1,8.70
12/9/2023,09:00:00 am,0,0.0,8.70
12/9/2023,09:15:00 am,0,-0.1,8.70
12/9/2023,09:30:00 am,0,-0.1,8.70
12/9/2023,09:45:00 am,0,-0.1,8.70
12/9/2023,10:00:00 am,0,0.1,8.80
12/9/2023,10:15:00 am,0,0.2,8.80
12/9/2023,10:30:00 am,0,0.3,8.80
12/9/2023,10:45:00 am,0,0.4,8.80
12/9/2023,11:00:00 am,0,0.1,8.80
12/9/2023,11:15:00 am,0,0.2,8.90
12/9/2023,11:30:00 am,0,0.2,8.90
12/9/2023,11:45:00 am,0,0.4,8.90
12/9/2023,12:00:00 pm,0,0.1,8.90
12/9/2023,12:15:00 pm,0,0.3,8.90
12/9/2023,12:30:00 pm,0,0.3,8.90
12/9/2023,12:45:00 pm,0,0.2,8.90
12/9/2023,01:00:00 pm,0,0.1,8.90
12/9/2023,01:15:00 pm,0,0.3,9.00
12/9/2023,01:30:00 pm,0,0.1,9.00
12/9/2023,01:45:00 pm,0,0.0,9.00
12/9/2023,02:00:00 pm,0,0.0,9.00
12/9/2023,02:15:00 pm,0,0.1,9.00
12/9/2023,02:30:00 pm,0,0.2,9.00
12/9/2023,02:45:00 pm,0,0.2,9.00
12/9/2023,03:00:00 pm,0,0.2,9.00
12/9/2023,03:15:00 pm,0,0.2,9.00
12/9/2023,03:30:00 pm,0,0.0,9.00
12/9/2023,03:45:00 pm,0,0.2,9.10
12/9/2023,04:00:00 pm,0,0.2,9.10
12/9/2023,04:15:00 pm,0,0.2,9.10
12/9/2023,04:30:00 pm,0,0.3,9.10
12/9/2023,04:45:00 pm,0,0.4,9.10
12/9/2023,05:00:00 pm,0,0.4,9.00
12/9/2023,05:15:00 pm,0,0.3,9.00
12/9/2023,05:30:00 pm,0,0.5,8.90
12/9/2023,05:45:00 pm,0,0.4,8.80
12/9/2023,06:00:00 pm,0,0.4,8.80
12/9/2023,06:15:00 pm,0,0.7,8.80
12/9/2023,06:30:00 pm,0,0.7,8.80
12/9/2023,06:45:00 pm,0,0.5,8.70
12/9/2023,07:00:00 pm,0,0.4,8.70
12/9/2023,07:15:00 pm,0,0.7,8.70
12/9/2023,07:30:00 pm,0,0.6,8.60
12/9/2023,07:45:00 pm,0,0.6,8.50
12/9/2023,08:00:00 pm,0,0.7,8.50
12/9/2023,08:15:00 pm,0,0.6,8.50
12/9/2023,08:30:00 pm,0,0.5,8.40
12/9/2023,08:45:00 pm,0,0.6,8.40
12/9/2023,09:00:00 pm,0,0.5,8.40
12/9/2023,09:15:00 pm,0,0.6,8.40
12/9/2023,09:30:00 pm,0,0.5,8.30
12/9/2023,09:45:00 pm,0,0.5,8.30
12/9/2023,10:00:00 pm,0,0.5,8.30
12/9/2023,10:15:00 pm,0,0.7,8.20
12/9/2023,10:30:00 pm,0,0.7,8.20
12/9/2023,10:45:00 pm,0,0.6,8.10
12/9/2023,11:00:00 pm,0,0.5,8.10
12/9/2023,11:15:00 pm,0,0.6,8.10
12/9/2023,11:30:00 pm,0,0.6,8.00
12/9/2023,11:45:00 pm,0,0.7,8.00
12/10/2023,12:00:00 am,0,0.5,7.90
12/10/2023,12:15:00 am,0,0.6,7.90
12/10/2023,12:30:00 am,0,0.6,7.80
12/10/2023,12:45:00 am,0,0.7,7.80
12/10/2023,01:00:00 am,0,0.6,7.70
12/10/2023,01:15:00 am,0,0.6,7.70
12/10/2023,01:30:00 am,0,0.7,7.60
12/10/2023,01:45:00 am,0,0.7,7.60
12/10/2023,02:00:00 am,0,0.5,7.50
12/10/2023,02:15:00 am,0,0.7,7.50
12/10/2023,02:30:00 am,0,0.8,7.50
12/10/2023,02:45:00 am,0,0.7,7.50
12/10/2023,03:00:00 am,0,0.7,7.40
12/10/2023,03:15:00 am,0,0.6,7.40
12/10/2023,03:30:00 am,0,0.8,7.40
12/10/2023,03:45:00 am,0,0.8,7.30
12/10/2023,04:00:00 am,0,0.5,7.30
12/10/2023,04:15:00 am,0,0.7,7.20
12/10/2023,04:30:00 am,0,0.7,7.20
12/10/2023,04:45:00 am,0,0.6,7.20
12/10/2023,05:00:00 am,0,0.7,7.10
12/10/2023,05:15:00 am,0,0.6,7.10
12/10/2023,05:30:00 am,0,0.5,7.10
12/10/2023,05:45:00 am,0,0.8,7.10
12/10/2023,06:00:00 am,0,0.7,7.00
12/10/2023,06:15:00 am,0,0.6,7.00
12/10/2023,06:30:00 am,0,0.7,6.90
12/10/2023,06:45:00 am,0,0.6,6.90
12/10/2023,07:00:00 am,0,0.7,6.80
12/10/2023,07:15:00 am,0,0.7,6.80
12/10/2023,07:30:00 am,0,0.7,6.80
12/10/2023,07:45:00 am,0,0.6,6.70
12/10/2023,08:00:00 am,0,0.9,6.70
12/10/2023,08:15:00 am,0,0.9,6.70
12/10/2023,08:30:00 am,0,0.9,6.60
12/10/2023,08:45:00 am,0,0.6,6.60
12/10/2023,09:00:00 am,0,0.6,6.60
12/10/2023,09:15:00 am,0,0.8,6.60
12/10/2023,09:30:00 am,0,0.7,6.50
12/10/2023,09:45:00 am,0,0.7,6.50
12/10/2023,10:00:00 am,0,0.6,6.50
12/10/2023,10:15:00 am,0,0.8,6.50
12/10/2023,10:30:00 am,0,0.5,6.50
12/10/2023,10:45:00 am,0,0.4,6.50
12/10/2023,11:00:00 am,0,0.4,6.50
12/10/2023,11:15:00 am,0,0.6,6.50
12/10/2023,11:30:00 am,0,0.5,6.50
12/10/2023,11:45:00 am,0,0.5,6.60
12/10/2023,12:00:00 pm,0,0.4,6.60
12/10/2023,12:15:00 pm,0,0.5,6.50
12/10/2023,12:30:00 pm,0,0.5,6.50
12/10/2023,12:45:00 pm,0,0.4,6.50
12/10/2023,01:00:00 pm,0,0.3,6.50
12/10/2023,01:15:00 pm,0,0.4,6.50
12/10/2023,01:30:00 pm,0,0.5,6.40
12/10/2023,01:45:00 pm,0,0.4,6.40
12/10/2023,02:00:00 pm,0,0.6,6.40
12/10/2023,02:15:00 pm,0,0.6,6.40
12/10/2023,02:30:00 pm,0,0.5,6.40
12/10/2023,02:45:00 pm,0,0.5,6.40
12/10/2023,03:00:00 pm,0,0.5,6.40
12/10/2023,03:15:00 pm,0,0.5,6.40
12/10/2023,03:30:00 pm,0,0.4,6.30
12/10/2023,03:45:00 pm,0,0.6,6.30
12/10/2023,04:00:00 pm,0,0.8,6.30
12/10/2023,04:15:00 pm,0,0.5,6.20
12/10/2023,04:30:00 pm,0,0.6,6.20
12/10/2023,04:45:00 pm,0,0.8,6.20
12/10/2023,05:00:00 pm,0,0.7,6.10
12/10/2023,05:15:00 pm,0,0.7,6.10
12/10/2023,05:30:00 pm,0,0.6,6.10
12/10/2023,05:45:00 pm,0,0.8,6.00
12/10/2023,06:00:00 pm,0,0.8,6.00
12/10/2023,06:15:00 pm,0,0.9,6.00
12/10/2023,06:30:00 pm,0,0.8,6.00
12/10/2023,06:45:00 pm,0,0.8,6.00
12/10/2023,07:00:00 pm,0,0.7,5.90
12/10/2023,07:15:00 pm,0,0.7,5.90
12/10/2023,07:30:00 pm,0,0.7,5.90
12/10/2023,07:45:00 pm,0,0.9,5.90
12/10/2023,08:00:00 pm,0,0.8,5.90
12/10/2023,08:15:00 pm,0,0.6,5.80
12/10/2023,08:30:00 pm,0,0.9,5.80
12/10/2023,08:45:00 pm,0,0.8,5.80
12/10/2023,09:00:00 pm,0,0.8,5.80
12/10/2023,09:15:00 pm,0,0.7,5.80
12/10/2023,09:30:00 pm,0,0.9,5.80
12/10/2023,09:45:00 pm,0,0.9,5.80
12/10/2023,10:00:00 pm,0,0.8,5.80
12/10/2023,10:15:00 pm,0,0.6,5.70
12/10/2023,10:30:00 pm,0,0.8,5.70
12/10/2023,10:45:00 pm,0,0.8,5.70
12/10/2023,11:00:00 pm,0,0.8,5.70
12/10/2023,11:15:00 pm,0,0.7,5.70
12/10/2023,11:30:00 pm,0,0.6,5.70
12/10/2023,11:45:00 pm,0,0.7,5.70
12/11/2023,12:00:00 am,0,0.8,5.60
12/11/2023,12:15:00 am,0,0.9,5.60
12/11/2023,12:30:00 am,0,0.8,5.60
12/11/2023,12:45:00 am,0,0.8,5.60
12/11/2023,01:00:00 am,0,0.8,5.50
12/11/2023,01:15:00 am,0,0.7,5.50
12/11/2023,01:30:00 am,0,0.7,5.50
12/11/2023,01:45:00 am,0,0.8,5.50
12/11/2023,02:00:00 am,0,0.8,5.50
12/11/2023,02:15:00 am,0,0.6,5.40
12/11/2023,02:30:00 am,0,0.9,5.40
12/11/2023,02:45:00 am,0,0.7,5.40
12/11/2023,03:00:00 am,0,0.9,5.30
12/11/2023,03:15:00 am,0,0.7,5.30
12/11/2023,03:30:00 am,0,0.8,5.30
12/11/2023,03:45:00 am,0,1.0,5.30
12/11/2023,04:00:00 am,0,0.6,5.20
12/11/2023,04:15:00 am,0,0.9,5.20
12/11/2023,04:30:00 am,0,0.8,5.20
12/11/2023,04:45:00 am,0,0.6,5.10
12/11/2023,05:00:00 am,0,0.9,5.10
12/11/2023,05:15:00 am,0,0.8,5.10
12/11/2023,05:30:00 am,0,0.9,5.10
12/11/2023,05:45:00 am,0,0.9,5.10
12/11/2023,06:00:00 am,0,0.8,5.00
12/11/2023,06:15:00 am,0,0.9,5.00
12/11/2023,06:30:00 am,0,0.8,5.00
12/11/2023,06:45:00 am,0,0.9,5.00
12/11/2023,07:00:00 am,0,0.8,5.00
12/11/2023,07:15:00 am,0,0.9,5.00
12/11/2023,07:30:00 am,0,0.7,4.90
12/11/2023,07:45:00 am,0,0.7,4.90
12/11/2023,08:00:00 am,0,0.6,4.90
12/11/2023,08:15:00 am,0,0.8,4.90
12/11/2023,08:30:00 am,0,0.6,4.90
12/11/2023,08:45:00 am,0,0.8,4.90
12/11/2023,09:00:00 am,0,0.6,4.90
12/11/2023,09:15:00 am,0,0.7,4.90
12/11/2023,09:30:00 am,0,0.8,4.90
12/11/2023,09:45:00 am,0,0.5,4.90
12/11/2023,10:00:00 am,0,0.5,4.90
12/11/2023,10:15:00 am,0,0.5,4.90
12/11/2023,10:30:00 am,0,0.5,4.90
12/11/2023,10:45:00 am,0,0.6,5.00
12/11/2023,11:00:00 am,0,0.3,5.00
12/11/2023,11:15:00 am,0,0.3,5.10
12/11/2023,11:30:00 am,0,0.4,5.20
12/11/2023,11:45:00 am,0,0.3,5.20
12/11/2023,12:00:00 pm,0,0.3,5.20
12/11/2023,12:15:00 pm,0,0.4,5.30
12/11/2023,12:30:00 pm,0,0.4,5.40
12/11/2023,12:45:00 pm,0,0.3,5.40
12/11/2023,01:00:00 pm,0,0.1,5.40
12/11/2023,01:15:00 pm,0,0.2,5.40
12/11/2023,01:30:00 pm,0,-0.0,5.50
12/11/2023,01:45:00 pm,0,0.0,5.60
12/11/2023,02:00:00 pm,0,-0.1,5.60
12/11/2023,02:15:00 pm,0,0.1,5.60
12/11/2023,02:30:00 pm,0,-0.2,5.50
12/11/2023,02:45:00 pm,0,0.1,5.50
12/11/2023,03:00:00 pm,0,0.3,5.50
12/11/2023,03:15:00 pm,0,0.4,5.50
12/11/2023,03:30:00 pm,0,0.2,5.40
12/11/2023,03:45:00 pm,0,0.2,5.40
12/11/2023,04:00:00 pm,0,0.2,5.40
12/11/2023,04:15:00 pm,0,0.4,5.40
12/11/2023,04:30:00 pm,0,0.5,5.40
12/11/2023,04:45:00 pm,0,0.3,5.30
12/11/2023,05:00:00 pm,0,0.4,5.30
12/11/2023,05:15:00 pm,0,0.6,5.20
12/11/2023,05:30:00 pm,0,0.6,5.10
12/11/2023,05:45:00 pm,0,0.7,5.00
12/11/2023,06:00:00 pm,0,0.6,5.00
12/11/2023,06:15:00 pm,0,0.7,4.90
12/11/2023,06:30:00 pm,0,0.9,4.90
12/11/2023,06:45:00 pm,0,0.8,4.80
12/11/2023,07:00:00 pm,0,0.8,4.80
12/11/2023,07:15:00 pm,0,1.0,4.70
12/11/2023,07:30:00 pm,0,0.9,4.80
12/11/2023,07:45:00 pm,0,0.9,4.70
12/11/2023,08:00:00 pm,0,1.1,4.70
12/11/2023,08:15:00 pm,0,0.8,4.70
12/11/2023,08:30:00 pm,0,0.8,4.60
12/11/2023,08:45:00 pm,0,1.0,4.60
12/11/2023,09:00:00 pm,0,1.1,4.60
12/11/2023,09:15:00 pm,0,0.9,4.50
12/11/2023,09:30:00 pm,0,0.8,4.50
12/11/2023,09:45:00 pm,0,0.7,4.50
12/11/2023,10:00:00 pm,0,0.6,4.50
12/11/2023,10:15:00 pm,0,0.5,4.50
12/11/2023,10:30:00 pm,0,0.7,4.50
12/11/2023,10:45:00 pm,0,0.4,4.40
12/11/2023,11:00:00 pm,0,0.3,4.40
12/11/2023,11:15:00 pm,0,0.3,4.40
12/11/2023,11:30:00 pm,0,0.4,4.40
12/11/2023,11:45:00 pm,0,0.2,4.40
12/12/2023,12:00:00 am,0,0.2,4.40
12/12/2023,12:15:00 am,0,0.4,4.40
12/12/2023,12:30:00 am,0,0.1,4.40
12/12/2023,12:45:00 am,0,0.4,4.40
12/12/2023,01:00:00 am,0,0.1,4.30
12/12/2023,01:15:00 am,0,0.2,4.30
12/12/2023,01:30:00 am,0,0.4,4.30
12/12/2023,01:45:00 am,0,0.5,4.30
12/12/2023,02:00:00 am,0,0.2,4.20
12/12/2023,02:15:00 am,0,0.4,4.20
12/12/2023,02:30:00 am,0,0.2,4.20
12/12/2023,02:45:00 am,0,0.4,4.20
12/12/2023,03:00:00 am,0,0.3,4.20
12/12/2023,03:15:00 am,0,0.1,4.20
12/12/2023,03:30:00 am,0,0.3,4.20
12/12/2023,03:45:00 am,0,0.2,4.20
12/12/2023,04:00:00 am,0,0.3,4.20
12/12/2023,04:15:00 am,0,0.3,4.20
12/12/2023,04:30:00 am,0,0.3,4.20
12/12/2023,04:45:00 am,0,0.2,4.20
12/12/2023,05:00:00 am,0,0.3,4.10
12/12/2023,05:15:00 am,0,0.2,4.10
12/12/2023,05:30:00 am,0,0.2,4.10
12/12/2023,05:45:00 am,0,0.3,4.10
12/12/2023,06:00:00 am,0,0.3,4.10
12/12/2023,06:15:00 am,0,0.3,4.10
12/12/2023,06:30:00 am,0,0.3,4.10
12/12/2023,06:45:00 am,0,0.4,4.10
12/12/2023,07:00:00 am,0,0.5,4.10
12/12/2023,07:15:00 am,0,0.4,4.10
12/12/2023,07:30:00 am,0,0.4,4.00
12/12/2023,07:45:00 am,0,0.6,4.00
12/12/2023,08:00:00 am,0,0.4,4.00
12/12/2023,08:15:00 am,0,0.5,4.00
12/12/2023,08:30:00 am,0,0.3,4.00
12/12/2023,08:45:00 am,0,0.5,4.10
12/12/2023,09:00:00 am,0,0.4,4.10
12/12/2023,09:15:00 am,0,0.2,4.20
12/12/2023,09:30:00 am,0,0.1,4.20
12/12/2023,09:45:00 am,0,0.1,4.30
12/12/2023,10:00:00 am,0,-0.1,4.40
12/12/2023,10:15:00 am,0,-0.1,4.50
12/12/2023,10:30:00 am,0,-0.1,4.60
12/12/2023,10:45:00 am,0,0.0,4.70
12/12/2023,11:00:00 am,0,-0.1,4.70
12/12/2023,11:15:00 am,0,-0.1,4.80
12/12/2023,11:30:00 am,0,-0.1,4.80
12/12/2023,11:45:00 am,0,-0.2,4.80
12/12/2023,12:00:00 pm,0,-0.0,4.90
12/12/2023,12:15:00 pm,0,-0.1,4.90
12/12/2023,12:30:00 pm,0,-0.2,4.90
12/12/2023,12:45:00 pm,0,-0.2,4.90
12/12/2023,01:00:00 pm,0,-0.1,5.00
12/12/2023,01:15:00 pm,0,-0.3,5.00
12/12/2023,01:30:00 pm,0,-0.4,5.00
12/12/2023,01:45:00 pm,0,-0.3,5.10
12/12/2023,02:00:00 pm,0,-0.1,5.10
12/12/2023,02:15:00 pm,0,-0.4,5.10
12/12/2023,02:30:00 pm,0,-0.4,5.10
12/12/2023,02:45:00 pm,0,-0.3,5.20
12/12/2023,03:00:00 pm,0,-0.1,5.20
12/12/2023,03:15:00 pm,0,0.1,5.20
12/12/2023,03:30:00 pm,0,0.0,5.20
12/12/2023,03:45:00 pm,0,0.0,5.20
12/12/2023,04:00:00 pm,0,0.2,5.20
12/12/2023,04:15:00 pm,0,0.3,5.20
12/12/2023,04:30:00 pm,0,0.1,5.10
12/12/2023,04:45:00 pm,0,0.3,5.10
12/12/2023,05:00:00 pm,0,0.3,5.00
12/12/2023,05:15:00 pm,0,0.4,5.00
12/12/2023,05:30:00 pm,0,0.4,4.90
12/12/2023,05:45:00 pm,0,0.6,4.70
12/12/2023,06:00:00 pm,0,0.5,4.60
12/12/2023,06:15:00 pm,0,0.5,4.60
12/12/2023,06:30:00 pm,0,0.6,4.50
12/12/2023,06:45:00 pm,0,0.5,4.40
12/12/2023,07:00:00 pm,0,0.7,4.40
12/12/2023,07:15:00 pm,0,0.6,4.40
12/12/2023,07:30:00 pm,0,0.7,4.30
12/12/2023,07:45:00 pm,0,0.8,4.30
12/12/2023,08:00:00 pm,0,0.8,4.20
12/12/2023,08:15:00 pm,0,0.6,4.20
12/12/2023,08:30:00 pm,0,0.8,4.20
12/12/2023,08:45:00 pm,0,0.6,4.10
12/12/2023,09:00:00 pm,0,0.7,4.10
12/12/2023,09:15:00 pm,0,0.7,4.10
12/12/2023,09:30:00 pm,0,0.6,4.00
12/12/2023,09:45:00 pm,0,0.8,4.00
12/12/2023,10:00:00 pm,0,0.9,4.00
12/12/2023,10:15:00 pm,0,0.9,3.90
12/12/2023,10:30:00 pm,0,0.7,3.90
12/12/2023,10:45:00 pm,0,0.9,3.80
12/12/2023,11:00:00 pm,0,0.9,3.80
12/12/2023,11:15:00 pm,0,0.8,3.70
12/12/2023,11:30:00 pm,0,1.0,3.70
12/12/2023,11:45:00 pm,0,1.0,3.70
12/13/2023,12:00:00 am,0,1.0,3.60
12/13/2023,12:15:00 am,0,0.9,3.60
12/13/2023,12:30:00 am,0,0.9,3.60
12/13/2023,12:45:00 am,0,0.8,3.50
12/13/2023,01:00:00 am,0,0.9,3.50
12/13/2023,01:15:00 am,0,1.0,3.50
12/13/2023,01:30:00 am,0,0.9,3.50
12/13/2023,01:45:00 am,0,0.8,3.50
12/13/2023,02:00:00 am,0,0.8,3.50
12/13/2023,02:15:00 am,0,0.9,3.50
12/13/2023,02:30:00 am,0,0.8,3.50
12/13/2023,02:45:00 am,0,0.7,3.50
12/13/2023,03:00:00 am,0,0.7,3.50
12/13/2023,03:15:00 am,0,0.5,3.60
