Serial_number:
2056873
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/6/2025,02:15:00 pm,0,99.8408,28.320
8/6/2025,02:20:00 pm,0,99.8219,28.060
8/6/2025,02:25:00 pm,0,99.8144,27.905
8/6/2025,02:30:00 pm,0,99.8097,27.768
8/6/2025,02:35:00 pm,0,99.7986,27.747
8/6/2025,02:40:00 pm,0,99.7914,27.798
8/6/2025,02:45:00 pm,0,99.7708,28.530
8/6/2025,02:50:00 pm,0,99.7485,29.608
8/6/2025,02:55:00 pm,0,99.7251,30.653
8/6/2025,03:00:00 pm,0,99.7103,31.372
8/6/2025,03:05:00 pm,0,99.6981,31.826
8/6/2025,03:10:00 pm,0,99.6973,32.020
8/6/2025,03:15:00 pm,0,99.7055,31.482
8/6/2025,03:20:00 pm,0,99.6972,31.237
8/6/2025,03:25:00 pm,0,99.7042,30.860
8/6/2025,03:30:00 pm,0,99.7078,30.261
8/6/2025,03:35:00 pm,0,99.6890,30.170
8/6/2025,03:40:00 pm,0,99.6759,30.584
8/6/2025,03:45:00 pm,0,99.6611,31.055
8/6/2025,03:50:00 pm,0,99.6543,31.479
8/6/2025,03:55:00 pm,0,99.6367,31.840
8/6/2025,04:00:00 pm,0,99.6392,31.952
8/6/2025,04:05:00 pm,0,99.6387,31.630
8/6/2025,04:10:00 pm,0,99.6234,31.398
8/6/2025,04:15:00 pm,0,99.6122,31.452
8/6/2025,04:20:00 pm,0,99.6087,31.617
8/6/2025,04:25:00 pm,0,99.6074,31.704
8/6/2025,04:30:00 pm,0,99.6039,31.617
8/6/2025,04:35:00 pm,0,99.6154,31.294
8/6/2025,04:40:00 pm,0,99.6187,30.708
8/6/2025,04:45:00 pm,0,99.6255,30.058
8/6/2025,04:50:00 pm,0,99.6391,29.364
8/6/2025,04:55:00 pm,0,99.6440,28.706
8/6/2025,05:00:00 pm,0,99.6422,28.206
8/6/2025,05:05:00 pm,0,99.6348,27.801
8/6/2025,05:10:00 pm,0,99.6335,27.488
8/6/2025,05:15:00 pm,0,99.6305,27.399
8/6/2025,05:20:00 pm,0,99.6294,27.485
8/6/2025,05:25:00 pm,0,99.6218,27.621
8/6/2025,05:30:00 pm,0,99.6204,27.673
8/6/2025,05:35:00 pm,0,99.6307,27.479
8/6/2025,05:40:00 pm,0,99.6337,27.124
8/6/2025,05:45:00 pm,0,99.6290,26.738
8/6/2025,05:50:00 pm,0,99.6324,26.370
8/6/2025,05:55:00 pm,0,99.6287,26.022
