Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/6/2022,04:00:00 pm,0,-2.6,20.60
8/6/2022,05:00:00 pm,0,-2.3,20.60
8/6/2022,06:00:00 pm,0,-2.1,20.60
8/6/2022,07:00:00 pm,0,-2.1,20.60
8/6/2022,08:00:00 pm,0,-2.2,20.60
8/6/2022,09:00:00 pm,0,-2.2,20.60
8/6/2022,10:00:00 pm,0,-2.1,20.60
8/6/2022,11:00:00 pm,0,-2.1,20.60
8/7/2022,12:00:00 am,0,-2.1,20.60
8/7/2022,01:00:00 am,0,-2.1,20.60
8/7/2022,02:00:00 am,0,-2.1,20.60
8/7/2022,03:00:00 am,0,-2.1,20.60
8/7/2022,04:00:00 am,0,-2.1,20.60
8/7/2022,05:00:00 am,0,-2.1,20.60
8/7/2022,06:00:00 am,0,-2.1,20.60
8/7/2022,07:00:00 am,0,-2.2,20.60
8/7/2022,08:00:00 am,0,-2.3,20.60
8/7/2022,09:00:00 am,0,-2.5,20.60
8/7/2022,10:00:00 am,0,-2.6,20.60
8/7/2022,11:00:00 am,0,-2.7,20.60
8/7/2022,12:00:00 pm,0,-2.4,20.60
8/7/2022,01:00:00 pm,0,-2.4,20.60
8/7/2022,02:00:00 pm,0,-2.2,20.60
8/7/2022,03:00:00 pm,0,-2.3,20.60
8/7/2022,04:00:00 pm,0,-2.5,20.60
8/7/2022,05:00:00 pm,0,-2.4,20.60
8/7/2022,06:00:00 pm,0,-2.3,20.60
8/7/2022,07:00:00 pm,0,-2.2,20.60
8/7/2022,08:00:00 pm,0,-2.2,20.60
8/7/2022,09:00:00 pm,0,-2.2,20.60
8/7/2022,10:00:00 pm,0,-2.2,20.60
8/7/2022,11:00:00 pm,0,-2.2,20.60
8/8/2022,12:00:00 am,0,-2.3,20.60
8/8/2022,01:00:00 am,0,-2.2,20.60
8/8/2022,02:00:00 am,0,-2.2,20.60
8/8/2022,03:00:00 am,0,-2.2,20.60
8/8/2022,04:00:00 am,0,-2.0,20.70
8/8/2022,05:00:00 am,0,-2.0,20.70
8/8/2022,06:00:00 am,0,-2.0,20.70
8/8/2022,07:00:00 am,0,-2.1,20.70
8/8/2022,08:00:00 am,0,-2.2,20.70
8/8/2022,09:00:00 am,0,-2.3,20.70
8/8/2022,10:00:00 am,0,-2.4,20.70
8/8/2022,11:00:00 am,0,-2.5,20.70
8/8/2022,12:00:00 pm,0,-2.4,20.70
8/8/2022,01:00:00 pm,0,-2.3,20.70
8/8/2022,02:00:00 pm,0,-2.4,20.70
8/8/2022,03:00:00 pm,0,-2.4,20.70
8/8/2022,04:00:00 pm,0,-2.3,20.70
8/8/2022,05:00:00 pm,0,-2.1,20.70
8/8/2022,06:00:00 pm,0,-2.2,20.70
