Serial_number:
2036199
Project ID:
ACRE Wetland
Location:
Inlet B
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/7/2022,09:30:00 am,0,1049.7,14.20
6/7/2022,09:45:00 am,0,1049.7,14.10
6/7/2022,10:00:00 am,0,1049.7,14.10
6/7/2022,10:15:00 am,0,1049.7,14.10
6/7/2022,10:30:00 am,0,1050.0,14.10
6/7/2022,10:45:00 am,0,1050.0,14.10
6/7/2022,11:00:00 am,0,1050.3,14.10
6/7/2022,11:15:00 am,0,1050.3,14.10
6/7/2022,11:30:00 am,0,1050.3,14.10
6/7/2022,11:45:00 am,0,1050.6,14.10
6/7/2022,12:00:00 pm,0,1050.6,14.10
6/7/2022,12:15:00 pm,0,1050.6,14.10
6/7/2022,12:30:00 pm,0,1050.9,14.10
6/7/2022,12:45:00 pm,0,1050.9,14.10
6/7/2022,01:00:00 pm,0,1050.9,14.10
6/7/2022,01:15:00 pm,0,1051.2,14.10
6/7/2022,01:30:00 pm,0,1050.9,14.10
6/7/2022,01:45:00 pm,0,1051.2,14.10
6/7/2022,02:00:00 pm,0,1050.9,14.10
6/7/2022,02:15:00 pm,0,1050.9,14.10
6/7/2022,02:30:00 pm,0,1051.2,14.10
6/7/2022,02:45:00 pm,0,1051.2,14.10
6/7/2022,03:00:00 pm,0,1051.2,14.10
6/7/2022,03:15:00 pm,0,1051.2,14.10
6/7/2022,03:30:00 pm,0,1051.2,14.10
6/7/2022,03:45:00 pm,0,1051.2,14.10
6/7/2022,04:00:00 pm,0,1051.2,14.10
6/7/2022,04:15:00 pm,0,1051.2,14.10
6/7/2022,04:30:00 pm,0,1051.2,14.10
6/7/2022,04:45:00 pm,0,1051.2,14.10
6/7/2022,05:00:00 pm,0,1051.2,14.10
6/7/2022,05:15:00 pm,0,1051.2,14.10
6/7/2022,05:30:00 pm,0,1051.2,14.10
6/7/2022,05:45:00 pm,0,1051.5,14.10
6/7/2022,06:00:00 pm,0,1051.5,14.10
6/7/2022,06:15:00 pm,0,1051.5,14.10
6/7/2022,06:30:00 pm,0,1051.8,14.10
6/7/2022,06:45:00 pm,0,1052.1,14.10
6/7/2022,07:00:00 pm,0,1052.4,14.10
6/7/2022,07:15:00 pm,0,1052.4,14.10
6/7/2022,07:30:00 pm,0,1052.4,14.10
6/7/2022,07:45:00 pm,0,1052.4,14.10
6/7/2022,08:00:00 pm,0,1052.4,14.10
6/7/2022,08:15:00 pm,0,1052.4,14.10
6/7/2022,08:30:00 pm,0,1052.7,14.10
6/7/2022,08:45:00 pm,0,1052.7,14.10
6/7/2022,09:00:00 pm,0,1053.0,14.10
6/7/2022,09:15:00 pm,0,1053.0,14.10
6/7/2022,09:30:00 pm,0,1052.7,14.10
6/7/2022,09:45:00 pm,0,1052.7,14.10
6/7/2022,10:00:00 pm,0,1052.4,14.10
6/7/2022,10:15:00 pm,0,1052.1,14.10
6/7/2022,10:30:00 pm,0,1052.4,14.10
6/7/2022,10:45:00 pm,0,1052.7,14.10
6/7/2022,11:00:00 pm,0,1052.7,14.10
6/7/2022,11:15:00 pm,0,1053.0,14.10
6/7/2022,11:30:00 pm,0,1052.7,14.10
6/7/2022,11:45:00 pm,0,1052.7,14.10
6/8/2022,12:00:00 am,0,1052.7,14.10
6/8/2022,12:15:00 am,0,1052.7,14.10
6/8/2022,12:30:00 am,0,1052.7,14.10
6/8/2022,12:45:00 am,0,1052.7,14.10
6/8/2022,01:00:00 am,0,1052.7,14.10
6/8/2022,01:15:00 am,0,1053.0,14.10
6/8/2022,01:30:00 am,0,1053.0,14.10
6/8/2022,01:45:00 am,0,1053.3,14.10
6/8/2022,02:00:00 am,0,1053.3,14.10
6/8/2022,02:15:00 am,0,1053.3,14.10
6/8/2022,02:30:00 am,0,1053.3,14.10
6/8/2022,02:45:00 am,0,1053.3,14.10
6/8/2022,03:00:00 am,0,1053.0,14.10
6/8/2022,03:15:00 am,0,1053.0,14.10
6/8/2022,03:30:00 am,0,1052.7,14.10
6/8/2022,03:45:00 am,0,1052.4,14.10
6/8/2022,04:00:00 am,0,1052.1,14.10
6/8/2022,04:15:00 am,0,1052.1,14.10
6/8/2022,04:30:00 am,0,1052.4,14.10
